Fecha,Hora UTC,Magnitud,Longitud,Latitud,Departamento,Municipio,Profundidad,Estado
1993-06-01,1:32:55,2.9,-73.052,6.795,SANTANDER,LOS SANTOS,150.1,Revisado
1993-06-01,1:32:55,2.8,-72.986,6.8,SANTANDER,CEPITA,153,Revisado
1993-06-01,3:08:28,3,-73.053,6.79,SANTANDER,LOS SANTOS,152.5,Revisado
1993-06-01,6:53:08,2.6,-73.151,6.793,SANTANDER,LOS SANTOS,143.8,Revisado
1993-06-01,10:13:18,2.9,-73.105,6.839,SANTANDER,LOS SANTOS,152.1,Revisado
1993-06-01,10:34:45,2.9,-73.171,6.894,SANTANDER,BETULIA,150,Revisado
1993-06-01,15:31:24,4.4,-73.058,6.754,SANTANDER,LOS SANTOS,150,Revisado
1993-06-01,16:07:52,3.1,-73.077,6.79,SANTANDER,LOS SANTOS,151.7,Revisado
1993-06-01,22:16:03,2.9,-73.248,6.904,SANTANDER,BETULIA,128.3,Revisado
1993-06-02,5:29:50,2.9,-72.996,6.776,SANTANDER,CEPITA,154.2,Revisado
1993-06-02,15:51:02,3.4,-72.965,6.787,SANTANDER,CEPITA,136.4,Revisado
1993-06-03,0:24:21,3.2,-72.995,6.793,SANTANDER,CEPITA,152.9,Revisado
1993-06-03,1:10:40,2.4,-74.935,4.532,TOLIMA,ALVARADO,6,Revisado
1993-06-03,2:10:46,2,-74.701,3.453,HUILA,COLOMBIA,6.8,Revisado
1993-06-03,2:12:34,1.8,-76.669,3.679,VALLE DEL CAUCA,DAGUA,32,Revisado
1993-06-03,2:36:21,2.9,-78.183,5.181,CHOCO,BAJO BAUDO,84.7,Revisado
1993-06-03,2:57:32,3.2,-73.083,6.852,SANTANDER,LOS SANTOS,149.4,Revisado
1993-06-03,3:22:05,2.7,-75.603,2.236,HUILA,GARZON,6,Revisado
1993-06-03,8:17:11,2.2,-76.145,1.764,HUILA,PALESTINA,0,Revisado
1993-06-03,8:56:01,2.8,-72.78,5.258,CASANARE,RECETOR,132,Revisado
1993-06-03,13:36:13,2.1,-75.432,2.403,HUILA,GIGANTE,15,Revisado
1993-06-03,14:16:10,2.8,-77.796,0.549,NARINO,IPIALES,105.2,Revisado
1993-06-03,17:29:39,3.1,-72.936,6.669,SANTANDER,ARATOCA,146.1,Revisado
1993-06-03,17:52:45,3.4,-72.966,6.76,SANTANDER,CEPITA,151.8,Revisado
